201
0.0 6.3469999999999995  114243087.84723996 0.0
0.0 6.346999983519448  114243087.84734884 0.00044805192001322477
0.0 6.3469999654135165  114243087.84747455 0.0013910468070136809
0.0 6.346999938219453  114243087.84762318 0.003854541853787316
0.0 6.346999917087425  114243087.8478065 0.009204481406289308
0.0 6.3469998936970144  114243087.848044 0.021128886573573733
0.0 6.346999852335083  114243087.84837334 0.04537226722237495
0.0 6.346999818781745  114243087.84886 0.09506104999772387
0.0 6.346999770782918  114243087.8496241 0.1903635085773688
0.0 6.346999697294024  114243087.85087653 0.3643405505745141
0.0 6.346999588872435  114243087.85299157 0.7341662281041785
0.0 6.346999446825464  114243087.85650083 1.3293742202940486
0.0 6.346999177009496  114243087.8623865 2.444307359230872
0.0 6.34699878132691  114243087.87208255 4.371735267537149
0.0 6.346998322171891  114243087.8878176 7.291797787677917
0.0 6.346997323470701  114243087.91272846 12.725075456561472
0.0 6.346996076524566  114243087.9513134 20.897555312567505
0.0 6.346994276000652  114243088.01099558 32.86590795293531
0.0 6.34699048690503  114243088.09949692 61.87172552681716
0.0 6.346984446897587  114243088.2281521 89.13019052648762
0.0 6.346976828038032  114243088.41450459 143.26196926626625
0.0 6.346964890855633  114243088.67434888 225.311639807034
0.0 6.346950924237656  114243089.03360422 344.1124064480481
0.0 6.346933451060531  114243089.52392942 452.1399311095081
0.0 6.3469138211690606  114243090.17385685 591.6707353490227
0.0 6.346876116173233  114243091.0342032 847.1657205223476
0.0 6.346822433232594  114243092.15749496 1170.6768452268927
0.0 6.346750131952136  114243093.59471832 1559.056275222039
0.0 6.346691708296785  114243095.42718202 1956.2920829032655
0.0 6.3466154852061285  114243097.68375097 2532.404643398624
0.0 6.346522015521665  114243100.5163423 3349.6674951102354
0.0 6.346411609502949  114243104.00953946 4231.734336497443
0.0 6.346286190959733  114243108.23010124 5113.455919141028
0.0 6.346065887701417  114243113.29057452 6303.194975251912
0.0 6.34584789083767  114243119.34864111 7695.848808293808
0.0 6.345665953737006  114243126.62228633 9313.068938125263
0.0 6.345324782091065  114243135.28356363 12848.30089450289
0.0 6.345096738661613  114243145.45461729 14781.949381742093
0.0 6.344768756763674  114243157.19281693 17596.96457428811
0.0 6.344388454671467  114243171.01578313 19884.120888756614
0.0 6.343963135025982  114243187.00239998 22996.677020529372
0.0 6.34355121621557  114243205.64713886 25682.672221842913
0.0 6.3431359907743  114243226.93047403 28746.575842644786
0.0 6.342770952598195  114243251.26129034 31924.46197924536
0.0 6.342344649993662  114243279.015317 35512.83861024641
0.0 6.341881469908641  114243311.61018342 39359.52017152981
0.0 6.3413880165990095  114243348.24244334 43694.792509232335
0.0 6.340847602899875  114243390.13120848 48210.20786344325
0.0 6.340302381605546  114243437.45431437 52928.01228455576
0.0 6.339619500563785  114243491.35772012 58805.202274644915
0.0 6.338954458198711  114243552.76441756 64452.48430058892
0.0 6.33820753754544  114243620.91635066 70078.63995446984
0.0 6.337493191641394  114243698.95287521 75992.00701744824
0.0 6.336673191321621  114243787.6983735 82630.31733404231
0.0 6.335796258945907  114243886.90372813 89627.13839819397
0.0 6.334952757692701  114244001.54837449 95886.42867801388
0.0 6.333978481098731  114244130.58852826 103315.32489075186
0.0 6.332879083248583  114244275.13140722 111287.95975672791
0.0 6.331762459365553  114244437.17861123 119505.19480151398
0.0 6.33062994753835  114244620.3461345 127782.7271310435
0.0 6.3293306674615035  114244827.75557612 136799.76521614657
0.0 6.327966838298601  114245062.46390302 146520.14010617457
0.0 6.326561676679249  114245329.99745816 156150.99466142204
0.0 6.325001899123784  114245625.5621454 167167.87019020805
0.0 6.323395058168263  114245959.55989717 178096.6045563368
0.0 6.321701362212231  114246338.64670092 189075.7100353083
0.0 6.319911729070492  114246764.89918536 200980.35782419064
0.0 6.318021512106785  114247243.10546179 213450.4922770794
0.0 6.315894085049242  114247775.47062327 226503.67140154625
0.0 6.313447131724778  114248382.84337637 240283.8185227739
0.0 6.311191645738134  114249083.3671638 254770.48448444827
0.0 6.308856797547752  114249847.57447587 269689.153976701
0.0 6.306421115513633  114250716.72032563 285250.5875413459
0.0 6.303709853660785  114251709.15731604 301869.8113781122
0.0 6.300888664780318  114252825.6428125 318847.3112306774
0.0 6.298029095835747  114254084.83832102 336754.1553079047
0.0 6.294988884965294  114255494.88731056 355476.21784603957
0.0 6.291729941048827  114257063.6843921 375454.3552114163
0.0 6.288349652947647  114258819.61694707 395689.3541352066
0.0 6.284690522670477  114260810.62342703 418268.2803735441
0.0 6.280773484302232  114263067.55806667 442181.1320826392
0.0 6.27665739542052  114265630.56194134 466609.945664693
0.0 6.272353113253424  114268557.68404144 491916.309268928
0.0 6.267783971155655  114271879.09550892 518596.59033302515
0.0 6.263059860290333  114275547.54776311 545370.2128766676
