201
0.0 6.347  119866859.13743594 0.0
0.0 6.346999984002226  119866859.13754967 0.00048518289882178124
0.0 6.346999966050409  119866859.13768071 0.0015831817247365582
0.0 6.346999945812477  119866859.13783512 0.004029931806397346
0.0 6.346999922755575  119866859.13802442 0.009369122909757437
0.0 6.346999896096085  119866859.13826995 0.02077648456608953
0.0 6.346999864614148  119866859.1386088 0.04448192071768
0.0 6.346999826119044  119866859.13910964 0.09235927417891829
0.0 6.346999776794656  119866859.13989232 0.18646015942406943
0.0 6.346999710027535  119866859.14116897 0.366501143256796
0.0 6.34699961460248  119866859.14330195 0.7014045165061276
0.0 6.346999471966849  119866859.14686981 1.3068119878776285
0.0 6.346999252125279  119866859.15281461 2.371368855226623
0.0 6.346998908168214  119866859.162567 4.191772646589185
0.0 6.346998368738247  119866859.17825347 7.220993348643742
0.0 6.346997526767908  119866859.20304228 12.139449423132069
0.0 6.346996228592766  119866859.2414705 19.925649740792796
0.0 6.346994265501067  119866859.29962687 31.911289212462645
0.0 6.346991351368457  119866859.38592565 49.92024609201749
0.0 6.3469871091827565  119866859.51169753 76.35377857502922
0.0 6.346981055478137  119866859.69096737 114.28585439551372
0.0 6.346972578846956  119866859.94090126 167.59528196541672
0.0 6.346960921742782  119866860.28390676 241.07069605710817
0.0 6.346945173964288  119866860.74638093 340.4383041862811
0.0 6.3469242324497275  119866861.36129574 472.5989560461991
0.0 6.346896806713036  119866862.16546652 645.5747289059249
0.0 6.346861522573164  119866863.20114544 867.8388865379034
0.0 6.346816774237125  119866864.52038398 1149.2396657355441
0.0 6.346760767172255  119866866.17514779 1500.7334865917755
0.0 6.346691551651849  119866868.23416421 1934.191150344449
0.0 6.346607025321377  119866870.77170572 2462.4148525066653
0.0 6.346504954748266  119866873.87447043 3099.051143820082
0.0 6.346382995907837  119866877.6320247 3858.5190428318015
0.0 6.346238754850751  119866882.15000874 4755.70099375079
0.0 6.3460698090606105  119866887.54419164 5805.876624837092
0.0 6.3458737537109595  119866893.91986874 7024.532591102588
0.0 6.345647998908643  119866901.44284366 8428.756743459815
0.0 6.345389929088701  119866910.28076883 10036.477809450698
0.0 6.3450982690740965  119866920.55213827 11858.17153659228
0.0 6.344770994176325  119866932.48268062 13910.215878108364
0.0 6.344406271869341  119866946.31368347 16209.34075595167
0.0 6.344003863082177  119866962.26989336 18764.13508532631
0.0 6.343562769844575  119866980.65336828 21590.089095635296
0.0 6.343083967517216  119867001.74286549 24692.23750585305
0.0 6.342567332809085  119867025.93379739 28084.602444257343
0.0 6.342015072600359  119867053.55948114 31767.636102531513
0.0 6.3414272456617855  119867085.0955453 35756.79388281967
0.0 6.340806364515568  119867121.0117471 40050.76001479297
0.0 6.34015560175294  119867161.75049226 44641.118286839286
0.0 6.339474833212114  119867208.06099963 49538.76116417519
0.0 6.338766125305928  119867260.49817193 54733.49311893486
0.0 6.338031651401241  119867319.79951133 60206.87135519474
0.0 6.337269178976601  119867386.99553408 65965.3159862332
0.0 6.336477856311077  119867463.02132043 71997.63276001837
0.0 6.335655924209607  119867549.01175717 78292.97636900606
0.0 6.334800747703475  119867646.24600446 84842.53099170355
0.0 6.333908938420829  119867755.95537098 91641.00806978923
0.0 6.33297712548154  119867879.65895537 98682.9286631756
0.0 6.332002706820711  119868018.7556663 105958.8997021339
0.0 6.3309770944512795  119868175.95619968 113506.730766241
0.0 6.329893983998808  119868353.145372 121348.01710084477
0.0 6.328746236158631  119868552.80985846 129512.1233978378
0.0 6.327526021254769  119868777.68068646 138034.61864343242
0.0 6.326224981841902  119869030.88814268 146956.30812590156
0.0 6.324834470184846  119869316.10786685 156322.28561342412
0.0 6.323346258956914  119869637.1886306 166177.93258014735
0.0 6.321752797984976  119869998.6338126 176567.91397622708
0.0 6.320047610905701  119870405.44591567 187533.21037166828
0.0 6.318225553909438  119870863.345119 199108.81481565224
0.0 6.316282708923324  119871378.7547739 211322.24330521782
0.0 6.31421659473788  119871958.77544023 224190.92029299054
0.0 6.312025576535602  119872612.2879382 237724.72876701225
0.0 6.30970852471174  119873348.63450415 251925.79121119765
0.0 6.307264315893828  119874179.40430874 266791.4853862031
0.0 6.304691579145334  119875118.55039676 282315.9200634658
0.0 6.301987886369834  119876185.87115145 298494.6167681309
0.0 6.299148975001044  119877392.66397418 315348.1694000684
0.0 6.296167927668108  119878732.97366478 332887.71825559967
0.0 6.293037351059992  119880233.67964171 351105.4899218278
0.0 6.289746937661609  119881929.13288394 370029.10197573266
0.0 6.286283912015285  119883848.56023213 389712.6126504166
0.0 6.282635008575962  119886028.8536085 410210.70632442227
0.0 6.278784876518198  119888503.57689714 431628.701854988
0.0 6.274714546700969  119891277.9229406 454060.19770450983
0.0 6.270405388609425  119894409.14658943 477590.29009615636
0.0 6.265837552335864  119897972.12211157 502364.203064472
0.0 6.260986573799085  119901992.9557736 528525.7888015234
0.0 6.255827925848235  119906547.17613104 556212.7420898875
0.0 6.25032899633457  119911708.06595579 585580.8603348518
0.0 6.244457690641857  119917582.52845518 616782.4641143614
0.0 6.238178721325333  119924291.28337485 650026.5653038598
0.0 6.231458479085296  119931925.44606484 685497.2455889302
0.0 6.224258564580281  119940588.95355585 723375.1424539495
0.0 6.216543563782823  119950455.26317964 763840.4475741895
0.0 6.208278100830002  119961734.63832113 807123.7530308863
0.0 6.199418358668337  119974673.15879649 853533.4791949095
0.0 6.189925547732425  119989487.61818169 903389.6680444416
0.0 6.179751210733549  120006480.07754976 957097.5004746795
0.0 6.168816184526552  120026089.33198662 1015197.598474043
0.0 6.1570606165435064  120048698.22424503 1078163.525858387
0.0 6.144388323281204  120074814.06230654 1146508.45304132
0.0 6.130691650741417  120105025.19882503 1220954.9885926887
0.0 6.115849866721379  120140042.43999656 1302437.0723337634
0.0 6.099725758373155  120180747.85288723 1391892.385180268
0.0 6.0821855677885495  120228102.66440189 1490518.5978921864
0.0 6.063068000453913  120283438.70952205 1599668.9815961854
0.0 6.042237778664184  120348140.9664894 1720611.0204739613
0.0 6.019613715208429  120423856.65102857 1854175.794693125
0.0 5.994996094777408  120512729.66779584 2002491.8369072094
0.0 5.968233082239038  120616093.11902687 2167053.6981379353
0.0 5.938960471678712  120737846.52389628 2352788.5463153226
0.0 5.907013889796571  120879341.82505462 2561527.94434589
0.0 5.8719951267403285  121045034.50829177 2798416.1320261
0.0 5.8335753743188805  121239494.26042747 3068962.209424143
0.0 5.791344930270783  121467675.64116701 3379852.6908494453
